referentiel,tgv_ref,cible_ref,cible_intitule,relation,justification
bsi-c5-2020,S01.01,OIS-07,Application of the Risk Management Policy,tgv_plus_etroit,Le rapport d'évaluation des risques de sécurité réalisé avant mise en production constitue une instance des évaluations de risques exigées par OIS-07.
bsi-c5-2020,S01.02,OIS-07,Application of the Risk Management Policy,recoupement_partiel,Les rapports d'évaluations périodiques des risques CID recoupent l'exécution récurrente du processus de gestion des risques d'OIS-07 sans en couvrir tout le périmètre organisationnel.
bsi-c5-2020,S01.03,DEV-05,"Risk assessment, categorisation and prioritisation of changes",tgv_plus_etroit,L'évaluation de risque déclenchée par tout changement majeur est un sous-ensemble de l'évaluation de risque exigée sur l'ensemble des changements par DEV-05.
bsi-c5-2020,S01.03,OIS-07,Application of the Risk Management Policy,recoupement_partiel,L'approbation par la direction de l'évaluation continue des risques recoupe l'exécution périodique du processus de risque d'OIS-07.
bsi-c5-2020,S02.01,OIS-02,Information Security Policy,recoupement_partiel,"La politique de sécurité présentant objectifs, principes directeurs et rôles fournit la preuve documentaire attendue par la politique OIS-02."
bsi-c5-2020,S02.01,SP-03,Exceptions from Existing Policies and Instructions,tgv_plus_etroit,Le volet gestion des dérogations et exceptions de la politique est un sous-ensemble du processus formel d'exceptions avec acceptation du risque de SP-03.
bsi-c5-2020,S02.02,SP-01,"Documentation, communication and provision of policies and instructions",recoupement_partiel,"Les normes, processus et procédures techniques documentés constituent les instructions dérivées de la politique de sécurité visées par SP-01."
bsi-c5-2020,S02.03,SP-01,"Documentation, communication and provision of policies and instructions",tgv_plus_etroit,La communication des politiques aux personnes intéressées est un sous-ensemble de la diffusion et mise à disposition exigée par SP-01.
bsi-c5-2020,S02.03,SP-02,Review and Approval of Policies and Instructions,recoupement_partiel,L'approbation par la direction et la mise à jour des politiques recoupent la revue et l'approbation périodiques exigées par SP-02.
bsi-c5-2020,S02.04,AM-02,Acceptable Use and Safe Handling of Assets Policy,recoupement_partiel,Le cadre de bonnes pratiques d'utilisation des outils informatiques recoupe la politique d'usage acceptable des actifs d'AM-02.
bsi-c5-2020,S02.04,SIM-01,Policy for security incident management,tgv_plus_etroit,La procédure à suivre en cas d'incident est un sous-ensemble de la politique de gestion des incidents de sécurité de SIM-01.
bsi-c5-2020,S03.01,OIS-02,Information Security Policy,tgv_plus_etroit,La définition des responsabilités de sécurité est un sous-ensemble du contenu rôles et responsabilités de la politique OIS-02.
bsi-c5-2020,S03.02,AM-01,Asset Inventory,recoupement_partiel,L'attribution d'un responsable de sécurité à l'application et à ses actifs recoupe l'affectation des personnes responsables des actifs prévue par AM-01.
