tgv_ref,cible_ref,cible_intitule,relation,justification
I01,10.10,Implement single sign-on (SSO) where possible to reduce password fatigue,recoupement_partiel,"Le support d'un service d'authentification externe (LDAP/LDAPS) centralisé l'authentification et réduit la multiplication des mots de passe (objectif du SSO), sans constituer un SSO complet ni être entièrement couvert par lui; recouvrement partiel dans le domaine de l'authentification."
P07.01,14.06,Monitor vendor compliance on an ongoing basis (not just at contract signing),recoupement_partiel,"P07.01 s'assure de la conformité des partenaires aux seules exigences de vie privée (PRP); 14.06 surveille en continu la conformité générale des fournisseurs. Recouvrement partiel sur la vérification de conformité des tiers, borné à la PRP cote P07.01 et sans garantie du caractère continu exigé par 14.06 (l'assurance pouvant être ponctuelle)."
P09.03,11.02,Enforce the principle of least privilege across all accounts and systems,tgv_plus_etroit,P09.03 applique le principe de nécessité/moindre privilège aux seuls renseignements personnels; 11.02 vise tous les comptes et systèmes. Sous-ensemble par portée -> subset.
P09.04,12.01,Enable audit logging on all in-scope systems and applications,tgv_plus_etroit,"P09.04 active la journalisation des seuls accès aux renseignements personnels, périmètre inclus dans la journalisation de tous les systèmes et applications de 12.01."
P09.06,12.02,Collect logs centrally using a SIEM or log management platform,recoupement_partiel,"P09.06 rend les journaux d'accès aux RP exploitables par des outils de gestion, ce qui recoupe une plateforme de log management, mais sans exiger la centralisation en SIEM ni couvrir tous les logs; recouvrement partiel, d'où intersect (et non subset)."
P09.08,11.06,Restrict administrative/root access to designated administrators only,tgv_plus_etroit,P09.08 (domaine vie privée) encadre les accès à privilèges élevés portant sur les renseignements personnels; 11.06 restreint l'accès administratif de manière générale. Instance plus étroite -> subset.
P09.11,11.10,Document and approve all access to sensitive data and systems,tgv_plus_etroit,P09.11 vérifié l'autorisation de la personne demandant l'accès aux renseignements personnels (volet approbation); 11.10 exige de documenter ET d'approuver tout accès aux données/systèmes sensibles. Portée TGV plus étroite -> subset.
P10.04,12.01,Enable audit logging on all in-scope systems and applications,tgv_plus_etroit,"P10.04 journalise l'activité sur les RP durant tout leur cycle de vie, sous-ensemble (données personnelles uniquement) de l'activation générale de journalisation de 12.01."
S01.02,01.05,Conduct an annual risk assessment covering all in-scope systems and data,recoupement_partiel,"S01.02 (évaluations périodiques des risques ET vulnérabilités) recoupe l'évaluation annuelle des risques de 01.05, mais déborde sur les vulnérabilités et ne garantit pas la couverture de tous les systèmes en périmètre; à l'inverse 01.05 impose une couverture intégrale et une cadence annuelle non explicitement exigées par TGV. Chevauchement partiel authentique sur l'activité 'évaluation périodique des risques'."
S02.01,01.03,Develop and approve an information security policy signed by senior management,tgv_plus_etroit,"S02.01 (politique présentant objectifs et principes) correspond à l'élément 'élaboration/contenu de la politique' de 01.03, mais ne couvre pas l'approbation signée par la haute direction. Le critère TGV est strictement inclus dans le contrôle HITRUST. Défendable: c'est le volet 'développer la politique' du contrôle."
S02.03,01.03,Develop and approve an information security policy signed by senior management,recoupement_partiel,"S02.03 (politiques approuvées par la direction + communiquées) partage l'élément 'approbation par la haute direction' avec 01.03, mais ajoute la communication (hors 01.03) et n'inclut pas l'élaboration de la politique. Recouvrement partiel réel: ni l'un ni l'autre n'inclut totalement l'autre. Point de contact défendable = l'approbation par la direction."
S02.04,04.07,Define and enforce a BYOD acceptable use policy,tgv_plus_large,"Un cadre de bonnes pratiques d'utilisation des outils informatiques englobe la politique d'usage acceptable BYOD, qui en est un cas particulier: superset défendable. Mapping le plus solide vers 04.07."
S03.01,01.08,Define roles and responsibilities for information security across the organization,equivalent,'Définir les responsabilités en matière de sécurité au sein de l'organisation' (S03.01) correspond directement à 'définir les rôles et responsabilités de sécurité à l'échelle de l'organisation' (01.08). Portée équivalente: le critère couvre pleinement l'intention du contrôle. Paire la plus solide du lot.
S03.02,01.08,Define roles and responsibilities for information security across the organization,tgv_plus_etroit,"S03.02 (désignation d'un responsable pour l'application et les actifs qui l'exploitent) est une instance spécifique et plus étroite de l'attribution des responsabilités de sécurité couverte par 01.08. L'assignation d'un propriétaire d'actif est une forme reconnue de responsabilité de sécurité, ici limitée à un périmètre précis: strictement inclus dans le contrôle organisationnel."
S03.05,04.01,Implement a mobile device management (MDM) solution,tgv_plus_large,"Gérer les risques spécifiques des appareils mobiles englobe l'implémentation d'une MDM, principal moyen technique de gestion de ces risques. Le critère TGV est plus large et ne nomme pas la solution: superset correct et défendable."
S03.05,04.04,Enable remote wipe capability for lost or stolen devices,tgv_plus_large,"L'effacement à distance d'un appareil perdu ou volé est une mesure standard de gestion des risques mobiles, englobée par l'exigence plus large S03.05 sans y être nommée: superset défendable."
S03.05,04.05,Restrict application installation to approved sources,tgv_plus_large,"La restriction des sources d'installation d'applications est une mesure reconnue de durcissement mobile relevant de la gestion des risques mobiles exigée par S03.05, qui est plus large: superset correct."
S03.05,04.06,Implement containerization to separate corporate and personal data (BYOD),tgv_plus_large,"La conteneurisation séparant données professionnelles et personnelles (BYOD) est une technique de gestion des risques mobiles/BYOD, sous-ensemble de l'exigence large S03.05: superset correct."
S03.05,04.09,Disable Bluetooth and NFC when not required,tgv_plus_large,"La désactivation des interfaces Bluetooth/NFC inutiles est une mesure de durcissement mobile relevant de la gestion des risques mobiles exigée, plus largement, par S03.05: superset correct."
S03.06,04.08,Require VPN or secure access for mobile connections to corporate resources,recoupement_partiel,"La politique de télétravail encadre l'accès distant sécurisé (VPN) hors site, ce qui recoupe l'accès sécurisé des connexions mobiles. Ni le télétravail ni le mobile ne s'incluent totalement (télétravail possible sur poste corporatif, mobile utilisé aussi sur site): intersect correct."
S04.02,13.01,Conduct security awareness training for all employees at hire and annually,recoupement_partiel,"Texte complet: 'Un programme de sensibilisation et de formation à la sécurité est en place pour tous les membres du personnel de l'entreprise (y compris la direction).' Recoupe directement le public 'all employées' de 13.01. HITRUST ajoute une cadence obligatoire (à l'embauche et annuelle) absente de TGV, tandis que TGV vise un 'programme' plus large que la seule délivrance périodique. Aucun n'inclut totalement l'autre -> intersect. Défendable."
S04.03,13.02,"Deliver role-specific training for IT staff, developers, and administrators",tgv_plus_etroit,S04.03: le personnel et les contractants 'ayant participé au développement et à l'exploitation de votre application' sont informés de leurs responsabilités et procédures. Public technique restreint (participants au projet applicatif) et contenu (responsabilités/procédures) plus étroits que la formation par rôle destinée à l'ensemble IT/développeurs/administrateurs de 13.02. TGV inclus dans HITRUST -> subset. Défendable.
S05.04,06.04,Maintain a configuration management database (CMDB) or asset inventory,tgv_plus_etroit,"L'inventaire de l'application et de ses actifs d'exploitation correspond à l'intention d'un inventaire d'actifs/CMDB. Il est plus étroit (périmètre applicatif) que la CMDB organisationnelle du 06.04. Subset correct, pair solide et directe."
S05.06,11.05,Disable accounts within 24 hours of employee termination,recoupement_partiel,"S05.06 exige le retrait des accès des employés ET contractants en fin de contrat (population plus large, sans délai); 11.05 impose la désactivation sous 24h à la cessation d'emploi (délai que TGV n'a pas). Chevauchement sans inclusion mutuelle -> intersect."
S05.06,14.09,Maintain a process for managing vendor access termination,recoupement_partiel,"S05.06 assure le retrait des accès des employés ET contractants au terme du contrat; 14.09 vise un processus de résiliation des accès fournisseurs. Recouvrement réel et spécifique (non générique) sur les contractants tiers en fin de relation. Aucune inclusion mutuelle: S05.06 couvre aussi les employés internes, tandis que 14.09 couvre l'accès organisationnel des fournisseurs (comptes de service, intégrations) que S05.06 ne traite pas."
S05.07,02.08,Implement USB device control policies,tgv_plus_large,"S05.07 encadre l'usage de l'ensemble des supports amovibles (USB, disques externes, cartes, optique); 02.08 vise le contrôle des périphériques USB, sous-ensemble des supports amovibles. L'intention de 02.08 (maîtriser les supports USB) est pleinement couverte par S05.07, dont la portée est plus large. Superset confirme (TGV plus large que le contrôle HITRUST)."
S05.07,03.01,Develop a portable/removable media policy,equivalent,"S05.07 exige une gouvernance documentée de l'utilisation des supports amovibles, fondée sur la classification de l'information (annotation: décrire les circonstances d'usage et les mesures de sécurité applicables). Cela établit et applique des règles formelles propres aux supports amovibles, ce qui correspond en portée à l'intention de 03.01 (disposer d'une politique de supports amovibles). Lien direct, sur le sujet, sans inférence. Portée équivalente."
S05.08,03.05,Implement secure disposal procedures for media containing sensitive data,recoupement_partiel,"RELATION CORRIGÉE (superset -> intersect). Paire solide sur le fond: destruction sécurisée de supports d'information <-> destruction sécurisée de supports. Mais les périmètres se croisent sans inclusion: S05.08 vise la mise au rebut de tous les supports d'information liés à l'application (toute sensibilité), tandis que 03.05 vise les supports contenant des données sensibles (tout périmètre). S05.08 couvre des supports applicatifs non sensibles hors 03.05; 03.05 couvre des supports sensibles hors application hors S05.08. Donc intersect."
S06.04,06.06,Restrict the ability to modify system configurations to authorized administrators,tgv_plus_large,Réserver l'ensemble des activités à privilèges élevés - dont la modification de configuration - à des comptes dédiés couvre et dépasse la restriction de la seule modification des configurations aux administrateurs autorisés. Superset correct.
S06.04,08.07,Restrict administrative access to network devices to authorized personnel,tgv_plus_large,"S06.04 reserve toutes les activités à privilèges élevés à des comptes dédiés avec contrôle de l'octroi. La restriction de l'accès administratif aux équipements réseau (08.07) est un cas particulier de cette exigence, l'administration d'équipements réseau étant incontestablement une activité à privilèges élevés. S06.04 est donc plus large que 08.07: superset."
S06.04,10.07,Implement a privileged access management (PAM) solution,tgv_plus_etroit,"Réserver les activités à privilèges à des comptes dédiés et en contrôler l'octroi est une composante d'une solution PAM complète; strictement plus étroit que le PAM (n'inclut pas coffre, rotation, sessions JIT)."
S06.04,11.06,Restrict administrative/root access to designated administrators only,recoupement_partiel,"S06.04 reserve les activités à privilèges élevés à des comptes dédiés; 11.06 restreint l'accès admin/root aux administrateurs désignés. Intention commune, mais TGV cible les comptes (pas explicitement la liste des personnes autorisées) et 'privilèges élevés' peut déborder admin/root. Correction equal -> intersect."
S06.05,10.01,Enforce a minimum password length of 12 characters,tgv_plus_large,"La gestion configurable du niveau de robustesse des mots de passe englobe la politique de longueur minimale, couvrant ainsi l'intention du minimum de 12 caractères et allant au-delà (autres paramètres de robustesse). Défendable car la robustesse inclut la longueur; paire marginale mais tenable."
S06.05,10.02,"Require complexity (uppercase, lowercase, numbers, special characters)",tgv_plus_large,"Le critère porte explicitement sur la gestion de la complexité des mots de passe, ce qui recouvre directement l'exigence de complexité (types de caractères) et la dépasse via des niveaux de robustesse paramétrables. Mapping le plus solide de S06.05."
S06.06,10.03,Implement multi-factor authentication (MFA) for all remote access,tgv_plus_large,"L'obligation de MFA sur l'ensemble du PST englobe le MFA pour les accès distants et le dépasse, puisqu'elle s'applique aussi hors accès distant."
S06.06,10.04,Implement MFA for all administrative and privileged accounts,tgv_plus_large,"L'obligation générale de MFA couvre à fortiori les comptes administratifs et à privilèges, tout en s'étendant aux comptes ordinaires."
S06.07,10.10,Implement single sign-on (SSO) where possible to reduce password fatigue,tgv_plus_large,La fédération d'identités via protocoles modernes (SAML/OpenID) réalisé directement le SSO et couvre plus largement l'authentification sécurisée; strictement plus large que le seul SSO. Mapping le plus solide pour 10.10.
S06.10,08.03,"Restrict inbound and outbound traffic to documented, approved flows",recoupement_partiel,"S06.10 exige que les communications inter-composantes soient authentifiées et au minimum de privilèges, donc limitées aux seuls échanges nécessaires: cela rejoint l'intention de 08.03 de n'autoriser que des flux approuvés. Intersect car S06.10 opère au niveau applicatif/service via authentification et n'exige pas la documentation formelle des flux réseau requise par 08.03, alors que 08.03 ne couvre pas l'authentification des composantes."
S06.12,11.03,Conduct access reviews at least quarterly for critical systems,recoupement_partiel,"S06.12 fournit l'outillage facilitant la revue des accès mais n'impose ni la conduite ni la cadence; 11.03 exige des revues effectuées au moins trimestriellement. Sujet identique (revue des accès), aucun n'inclut l'autre -> intersect."
S06.13,11.01,Implement role-based access control (RBAC) for all systems,tgv_plus_etroit,"S06.13 impose un RBAC (profils basés sur les fonctionnalités) circonscrit à l'application; 11.01 exige le RBAC sur tous les systèmes. Même mécanisme, portée TGV plus étroite -> subset."
S06.16,10.05,Enforce account lockout after a defined number of failed attempts,equivalent,"La désactivation automatique d'un identifiant après un maximum de tentatives échouées équivaut au verrouillage de compte après un nombre défini d'échecs; même déclencheur, même effet, portée équivalente."
