tgv_ref,cible_ref,cible_intitule,relation,justification
P01.01,164.316(a),1. Create and Deploy Policies and Procedures,recoupement_partiel,La politique de protection des renseignements personnels fournit une preuve partielle des politiques et procédures documentées exigées par 164.316(a) pour protéger les renseignements de santé.
P01.02,164.316(a),1. Create and Deploy Policies and Procedures,recoupement_partiel,"Les politiques, processus et procédures encadrant la PRP alimentent l'exigence HIPAA de politiques et procédures raisonnables et appropriées documentées (164.316(a))."
P01.05,164.316(a),1. Create and Deploy Policies and Procedures,recoupement_partiel,"Des politiques détaillant la collecte, la conservation, la communication et la destruction des renseignements constituent une preuve partielle des politiques documentées exigées par 164.316(a)."
P03.02,164.308(a)(1),Implementation Specification (Required),recoupement_partiel,L'analyse continue des risques d'atteinte à la vie privée couvre partiellement l'analyse des risques de confidentialité des ePHI exigée par 164.308(a)(1)(ii)(A).
P04.01,164.308(a)(1),Implementation Specification (Required),recoupement_partiel,"Le mécanisme d'ÉFVP documente les risques et mesures d'atténuation touchant la confidentialité des renseignements de santé, alimentant l'analyse de risques 164.308(a)(1)(ii)(A)."
P04.02,164.308(a)(1),Implementation Specification (Required),recoupement_partiel,Une ÉFVP complète et documentée constitue une preuve partielle d'analyse de risques exhaustive et documentée au sens de 164.308(a)(1)(ii)(A).
P05.01,164.308(a)(5),5. Implement the Training,recoupement_partiel,La sensibilisation du personnel à la protection de la vie privée et aux bonnes pratiques alimente partiellement le programme de formation et de sensibilisation exigé par 164.308(a)(5).
P07.01,164.308(b)(1),3. Written Contract or Other Arrangement,recoupement_partiel,Les exigences de protection des renseignements personnels imposées contractuellement aux partenaires alimentent les garanties écrites de type BAA exigées par 164.308(b)/164.314(a).
P08.03,164.308(a)(1),1. Identify all ePHI and Relevant Information Systems,recoupement_partiel,La capacité de connaître et consigner la provenance des renseignements personnels alimente l'identification des points d'entrée et des flux d'ePHI dans le système.
P08.06,164.312(b),1. Determine the Activities that Will Be Tracked or Audited,recoupement_partiel,La traçabilité et le marquage des renseignements DSQ tout au long de leur cycle de vie alimentent la définition de la portée des contrôles d'audit sur les ePHI (164.312(b)).
P08.07,164.312(e)(1),1. Identify Any Possible Unauthorized Sources that May Be Able to Intercept and/or Modify the Information,recoupement_partiel,L'identification et la traçabilité de toute communication entrante ou sortante de renseignements personnels alimentent l'identification des chemins de transmission des ePHI (164.312(e)).
P09.01,164.312(a),2. Identify Technical Access Control Capabilities,recoupement_partiel,La gestion des accès par profils selon le moindre privilège alimente les contrôles d'accès techniques limitant l'accès aux ePHI aux seules autorisations accordées (164.312(a)(1)).
P09.02,164.312(d),3. Select and Implement Authentication Options,recoupement_partiel,Les mécanismes d'authentification proportionnés à la sensibilité des renseignements alimentent l'exigence d'authentification des personnes et entités (164.312(d)).
P09.03,164.308(a)(4),2. Implement Policies and Procedures for Authorizing Access,recoupement_partiel,L'application du principe de nécessité (besoin de connaître) à chaque accès alimente les politiques d'octroi d'accès aux ePHI fondées sur le besoin (164.308(a)(4)(ii)(B)).
P09.04,164.312(b),5. Implement the Audit/System Activity Review Process,tgv_plus_etroit,La journalisation de l'ensemble des accès aux renseignements personnels est comprise dans l'activation de la journalisation et de l'audit de l'activité des systèmes contenant des ePHI (164.312(b)).
P09.05,164.308(a)(3),2. Establish Clear Job Descriptions and Responsibilities,recoupement_partiel,"Le lien documenté entre renseignements, types d'accès, tâches et profils alimente l'identification écrite de qui peut consulter, modifier ou stocker les ePHI et dans quelles circonstances."
P09.06,164.308(a)(1),7. Develop and Deploy the Information System Activity Review Process,recoupement_partiel,Des journaux d'accès exploitables par des outils de gestion alimentent la revue régulière de l'activité des systèmes d'information (164.308(a)(1)(ii)(D)).
P09.07,164.312(a),2. Identify Technical Access Control Capabilities,tgv_plus_etroit,La restriction d'accès selon des plages horaires est un contrôle d'accès technique spécifique compris dans l'exigence générale de limitation technique de l'accès aux ePHI (164.312(a)(1)).
P09.08,164.312(a),2. Identify Technical Access Control Capabilities,tgv_plus_etroit,Le contrôle renforcé des accès à privilèges élevés est une facette des contrôles d'accès techniques limitant l'accès aux ePHI selon les autorisations accordées (164.312(a)(1)).
P09.09,164.312(c),1. Identify All Users Who Have Been Authorized to Access ePHI,recoupement_partiel,La restriction des mises à jour aux personnes autorisées avec consignation de l'origine alimente l'identification des utilisateurs approuvés pouvant modifier les ePHI (164.312(c)).
P09.11,164.312(a),2. Identify Technical Access Control Capabilities,recoupement_partiel,Le mécanisme vérifiant les restrictions d'accès applicables à un demandeur démontre une capacité de contrôle d'accès technique granulaire aux renseignements de santé (164.312(a)(1)).
P10.01,164.308(a)(3),2. Establish Clear Job Descriptions and Responsibilities,recoupement_partiel,"La définition des rôles et responsabilités du personnel pour la protection des renseignements tout au long du cycle de vie alimente la définition des rôles, responsabilités et niveaux d'accès par fonction."
