tgv_ref,cible_ref,cible_intitule,relation,justification
S01.01,BASIC_ID.RA-5.1,"The organization shall conduct risk assessments in which risk is determined by threats, vulnerabilities and impact on business processes and assets.",tgv_plus_etroit,L'évaluation des risques réalisée à la conception avant mise en production alimente l'exigence CCB de conduite d'évaluations de risques par menaces/vulnérabilités/impact.
S01.02,IMPORTANT_ID.RA-1.2,"A process shall be established to monitor, identify, and document vulnerabilities of the organisation's business critical systems in a continuous manner.",recoupement_partiel,Le volet évaluation périodique des vulnérabilités alimente le processus de surveillance et documentation continue des vulnérabilités des systèmes critiques.
S01.02,IMPORTANT_ID.RA-5.2,"The organization shall conduct and document risk assessments in which risk is determined by threats, vulnerabilities, impact on business processes and assets, and the likelihood of their occurrence.",tgv_plus_etroit,Les évaluations périodiques des risques DIC alimentent la conduite et la documentation d'évaluations de risques incluant la probabilité d'occurrence.
S01.03,IMPORTANT_ID.GV-4.2,"Information security and cybersecurity risks shall be documented, formally approved, and updated when changes occur.",tgv_plus_etroit,La réévaluation approuvée par la direction et déclenchée lors de changements majeurs alimente l'approbation formelle et la mise à jour des risques.
S02.01,BASIC_ID.GV-1.1,"Policies and procedures for information security and cyber security shall be created, documented, reviewed, approved, and updated when changes occur.",equivalent,"La politique de sécurité présentant objectifs, principes, rôles et gestion des dérogations correspond à la création/documentation/approbation des politiques de sécurité."
S02.02,BASIC_ID.GV-1.1,"Policies and procedures for information security and cyber security shall be created, documented, reviewed, approved, and updated when changes occur.",tgv_plus_etroit,"Les normes, processus et procédures techniques établis alimentent la documentation des procédures de sécurité de l'information."
S02.03,IMPORTANT_ID.GV-1.2,"An organization-wide information security and cybersecurity policy shall be established, documented, updated when changes occur, disseminated, and approved by senior management.",tgv_plus_etroit,"L'approbation par la direction, la communication et la mise à jour des politiques alimentent la politique de sécurité approuvée par la haute direction et diffusée."
S02.04,BASIC_RS.RP-1.1,"An incident response process, including roles, responsibilities, and authorities, shall be executed during or after an information/cybersecurity event on the organization's critical systems.",recoupement_partiel,Le volet procédure à suivre en cas d'incident alimente le processus de réponse aux incidents exécuté lors d'un événement de sécurité.
S03.01,IMPORTANT_ID.AM-6.1,"[KEY MEASURE] Information security and cybersecurity roles, responsibilities and authorities within the organization shall be documented, reviewed, authorized, and updated and alignment with organization-internal roles and external partners.",equivalent,"La définition des responsabilités de sécurité dans l'organisation correspond à la documentation des rôles, responsabilités et autorités de sécurité."
S03.02,IMPORTANT_ID.AM-2.3,Individuals who are responsible and who are accountable for administering software platforms and applications within the organization shall be identified.,tgv_plus_etroit,Le responsable attitré de l'application et de ses actifs alimente l'identification des personnes responsables de l'administration des plateformes et applications.
S03.03,IMPORTANT_PR.AC-4.6,Separation of duties (SoD) shall be ensured in the management of access rights.,tgv_plus_etroit,L'identification des tâches incompatibles et les mesures limitant l'usage inapproprié alimentent la séparation des tâches dans la gestion des droits d'accès.
S03.04,IMPORTANT_PR.IP-2.1,The system and application development life cycle shall include security considerations.,recoupement_partiel,La méthode de gestion de projet intégrant la sécurité alimente l'intégration des considérations de sécurité dans le cycle de développement.
S03.06,IMPORTANT_PR.AC-3.3,"[KEY MEASURE] Usage restrictions, connection requirements, implementation guidance, and authorizations for remote access to the organization’s critical systems environment shall be identified, documented and implemented.",recoupement_partiel,La politique couvrant les risques du télétravail alimente les restrictions d'usage et exigences documentées d'accès à distance.
