tgv_ref,cible_ref,cible_intitule,relation,justification
P01.01,A.3.3-4,Politique de vie privee et roles,tgv_plus_etroit,P01.01 exige une politique de protection de la vie privée/RP; A.3.3-4 impose d'établir cette politique et d'attribuer les rôles. Le critère TGV est l'instance précise de l'exigence de politique du groupe partage.
P01.02,A.3.3-4,Politique de vie privee et roles,tgv_plus_etroit,P01.02 encadre la PRP par politiques/processus/directives/procédures; correspond à l'établissement du dispositif documentaire et de gouvernance des RP de A.3.3-4.
P01.03,A.1.3.2-4,Transparence et information,tgv_plus_etroit,"P01.03 rend la politique de confidentialité facilement consultable par l'utilisateur, ce qui réalisé l'obligation d'information transparente et accessible de A.1.3.2-4."
P01.04,A.1.3.2-4,Transparence et information,tgv_plus_etroit,P01.04 publie de l'information détaillée sur la gouvernance des RP en termes simples/clairs sur le site = obligation de transparence (A.1.3.2-4).
P01.04,A.3.3-4,Politique de vie privee et roles,tgv_plus_etroit,P01.04 établit des politiques et pratiques encadrant la gouvernance des RP = volet politique et rôles de A.3.3-4.
P01.05,A.1.3.2-4,Transparence et information,tgv_plus_etroit,P01.05 détaille dans les politiques ce qui est collecté/conservé/communiqué/détruit = information transparente sur le traitement fournie aux personnes (A.1.3.2-4).
P02.01,A.3.3-4,Politique de vie privee et roles,tgv_plus_etroit,P02.01 désigne un responsable de la PRP chargé de la mise en oeuvre = attribution des rôles et responsabilités vie privée de A.3.3-4.
P02.02,A.3.3-4,Politique de vie privee et roles,tgv_plus_etroit,P02.02 dote le responsable des ressources humaines/techniques/financières = engagement de la direction et ressources pour les rôles définis à A.3.3-4.
P02.03,A.3.3-4,Politique de vie privee et roles,tgv_plus_etroit,P02.03 impliqué le responsable PRP dans le projet de développement = exercice concret des rôles/responsabilités vie privée (A.3.3-4).
P03.01,A.1.4.2-5,Minimisation des donnees,recoupement_partiel,P03.01 intègre des activités assurant le respect des principes de PRP dès la conception (privacy by design); recoupe le noyau minimisation/protection des données dès la conception de A.1.4.2-5 sans se limiter à la seule minimisation.
P03.02,A.3.13-16,"Conformite, audit et revue",tgv_plus_etroit,P03.02 cerné et analyse les risques d'atteinte à la vie privée des les premières étapes et tout au long du projet = évaluation des risques vie privée alimentant le dispositif de conformité/revue de A.3.13-16.
P04.01,A.3.13-16,"Conformite, audit et revue",tgv_plus_etroit,P04.01 réalisé une ÉFVP évaluant la conformité du projet aux lois et relevant les risques = instrument d'évaluation de conformité réglementaire du groupe A.3.13-16.
P04.02,A.3.13-16,"Conformite, audit et revue",tgv_plus_etroit,P04.02 exige que l'ÉFVP contienne les éléments requis par la CAI = complétude de l'évaluation de conformité couverte par A.3.13-16.
P05.01,A.3.17-19,Securite du personnel et bureau range,tgv_plus_etroit,P05.01 sensibilisé le personnel à la protection de la vie privée et aux bonnes pratiques = sensibilisation/formation du personnel de A.3.17-19.
P05.02,A.1.3.2-4,Transparence et information,tgv_plus_etroit,P05.02 informe acquéreur et utilisateurs de l'usage autorisé et des mesures de sécurité et de leur rôle = information fournie aux utilisateurs sur le traitement (A.1.3.2-4).
P06.01,A.1.3.2-4,Transparence et information,tgv_plus_etroit,P06.01 informe l'utilisateur de la finalité de la collecte et de l'usage des RP = transparence sur les finalités du traitement (A.1.3.2-4).
P06.02,A.1.2.2-5,Base legale et consentement,tgv_plus_etroit,P06.02 s'assure de l'obtention du consentement et de l'information sur motifs/usage/tiers/droit de retrait = base de consentement geree à A.1.2.2-5.
P06.02,A.1.3.2-4,Transparence et information,tgv_plus_etroit,"P06.02 exige, au-delà de l'obtention du consentement (déjà mappé à A.1.2.2-5), que les personnes concernées soient systématiquement informées des motifs de la collecte, de l'utilisation prévue, des tiers impliqués et de leur droit de rétractation. Ce volet information/transparence est une exigence distincte qui réalisé l'obligation de fournir aux personnes une information claire sur le traitement du groupe A.1.3.2-4. Mapping dual justifié (consentement + transparence), ratio maintenu à 2."
P06.03,A.1.2.2-5,Base legale et consentement,tgv_plus_etroit,P06.03 recueille et consigne le consentement à la collecte = obtention et preuve du consentement (A.1.2.2-5).
P06.04,A.1.2.2-5,Base legale et consentement,tgv_plus_etroit,P06.04 consigne l'attestation que le professionnel à obtenu le consentement pour collecter = preuve du consentement (A.1.2.2-5).
P06.05,A.1.2.2-5,Base legale et consentement,tgv_plus_etroit,P06.05 recueille/consigne le consentement à la communication des RP = gestion et preuve du consentement (A.1.2.2-5).
P06.06,A.1.2.2-5,Base legale et consentement,tgv_plus_etroit,P06.06 fait confirmer formellement tout transfert spécifique de RP du DSQ = consentement/confirmation propre à une communication (A.1.2.2-5).
P06.07,A.1.2.2-5,Base legale et consentement,tgv_plus_etroit,"P06.07 gère finement le consentement (paramètres d'acceptation, préférences) = gestion du consentement incluant préférences et retrait (A.1.2.2-5)."
P06.08,A.1.2.2-5,Base legale et consentement,tgv_plus_etroit,"P06.08 consigne, en collecte indirecte, une déclaration justifiant la provenance des RP = établissement de la base légale/autorisation de la collecte indirecte (A.1.2.2-5)."
P06.09,A.1.2.2-5,Base legale et consentement,tgv_plus_etroit,P06.09 consigne l'acceptation des conditions d'utilisation par chaque utilisateur = preuve d'accord/consentement documenté (A.1.2.2-5).
P06.10,A.1.5.2-5,Transfert et divulgation des RP,tgv_plus_etroit,P06.10 respecte l'encadrement de la communication de RP sans consentement = règles et registre de divulgation de A.1.5.2-5.
P06.11,A.1.2.2-5,Base legale et consentement,tgv_plus_etroit,P06.11 obtient le consentement des titulaires de l'autorité parentale pour les mineurs de moins de 14 ans = condition de consentement spécifique (A.1.2.2-5).
P06.12,A.1.2.2-5,Base legale et consentement,tgv_plus_etroit,P06.12 consigne l'attestation d'obtention du consentement pour communiquer les RP = preuve du consentement à la communication (A.1.2.2-5).
P07.01,A.3.8-10,"Identite, acces et controles fournisseurs",tgv_plus_etroit,P07.01 s'assure que les partenaires respectent ses exigences PRP = encadrement et contrôle des fournisseurs traitant des RP (A.3.8-10).
P07.02,A.1.3.2-4,Transparence et information,tgv_plus_etroit,"P07.02 informe les utilisateurs de l'identité des parties prenantes (fournisseur, acquéreur, ministère) = transparence sur l'identité des intervenants au traitement (A.1.3.2-4)."
P08.01,A.1.2.2-5,Base legale et consentement,tgv_plus_etroit,"P08.01 ne recueille les identifiants généraux (NAS, NAM...) qu'en vertu de dispositions légales/ententes, la personne informée = base légale de la collecte (A.1.2.2-5)."
P08.02,A.1.3.2-4,Transparence et information,tgv_plus_etroit,"P08.02 informe préalablement, lors d'une collecte directe, de l'utilisation des RP = information au moment de la collecte (A.1.3.2-4)."
P08.03,A.1.2.2-5,Base legale et consentement,tgv_plus_etroit,"P08.03 consigne, en collecte indirecte, une confirmation d'autorisation de la personne = base d'autorisation de la collecte indirecte (A.1.2.2-5)."
P08.04,A.1.2.2-5,Base legale et consentement,tgv_plus_etroit,"P08.04 informe, obtient le consentement et justifie la collecte automatisée (témoins de navigation, localisation) = consentement aux identifiants/traceurs (A.1.2.2-5)."
P08.04,A.1.3.2-4,Transparence et information,tgv_plus_etroit,"P08.04 impose explicitement d'INFORMER l'utilisateur de la collecte automatisée (témoins de navigation, information de localisation) et d'en justifier le recours, en plus d'obtenir son consentement (déjà mappé à A.1.2.2-5). Le volet 'vous l'en informez' constitue une obligation de transparence propre relevant du groupe A.1.3.2-4, distincte de la gestion du consentement. Correspondance forte et non redondante (l'obligation d'information est énoncée séparément dans le critère)."
P08.05,A.1.2.6-9,Gouvernance de la vie privee et registres,tgv_plus_etroit,P08.05 permet de connaître la date de collecte (réception) des RP = métadonnée du traitement consignée au registre des traitements (A.1.2.6-9).
P08.06,A.3.5-7,Classification de l'information et transfert,tgv_plus_etroit,P08.06 assure la traçabilité et un marquage spécifique des RP du DSQ tout au long du cycle de vie = classification/marquage de l'information selon sa sensibilité (A.3.5-7).
P08.07,A.1.5.2-5,Transfert et divulgation des RP,tgv_plus_etroit,P08.07 identifie et trace toute communication de RP entrante/sortante = traçabilité et registre des communications et divulgations (A.1.5.2-5).
P08.08,A.1.3.2-4,Transparence et information,tgv_plus_etroit,P08.08 garde l'information sur les RP collectés/traités facilement disponible pour l'utilisateur = accessibilité de l'information sur le traitement (A.1.3.2-4).
P08.09,A.1.3.2-4,Transparence et information,tgv_plus_etroit,P08.09 informe l'utilisateur de la durée de conservation au moment de la collecte = information sur la conservation fournie à la personne (A.1.3.2-4).
P09.01,A.3.8-10,"Identite, acces et controles fournisseurs",tgv_plus_etroit,P09.01 gère les accès aux RP par profils selon le moindre privilège = gestion de l'identité et des accès aux RP (A.3.8-10).
P09.02,A.3.8-10,"Identite, acces et controles fournisseurs",tgv_plus_etroit,P09.02 authentifie les utilisateurs proportionnellement à la sensibilité des RP = assurance d'identité et contrôle d'accès aux RP (A.3.8-10).
P09.03,A.3.8-10,"Identite, acces et controles fournisseurs",tgv_plus_etroit,P09.03 fondé chaque accès sur le besoin de connaître = principe de nécessité du contrôle d'accès aux RP (A.3.8-10).
P09.04,A.3.8-10,"Identite, acces et controles fournisseurs",tgv_plus_etroit,P09.04 journalise l'ensemble des accès aux RP = traçabilité des accès intégrée au dispositif de gestion des accès (A.3.8-10).
P09.05,A.3.8-10,"Identite, acces et controles fournisseurs",tgv_plus_etroit,"P09.05 relie chaque RP au type d'accès, aux tâches et aux profils = cartographie des accès aux RP (A.3.8-10)."
P09.06,A.3.8-10,"Identite, acces et controles fournisseurs",tgv_plus_etroit,P09.06 journalise les accès de façon exploitable par des outils de gestion = revue et monitoring des accès aux RP (A.3.8-10).
P09.07,A.3.8-10,"Identite, acces et controles fournisseurs",tgv_plus_etroit,P09.07 restreint l'accès aux RP selon le moment (plage horaire) = mesure de contrôle d'accès aux RP (A.3.8-10).
P09.08,A.3.8-10,"Identite, acces et controles fournisseurs",tgv_plus_etroit,P09.08 renforcé le contrôle des accès à privilèges élevés = gestion des accès privilégiés aux RP (A.3.8-10).
P09.09,A.3.8-10,"Identite, acces et controles fournisseurs",tgv_plus_etroit,P09.09 reserve la mise à jour des RP aux personnes autorisées avec journalisation des circonstances/origine = contrôle et traçabilité des accès en modification (A.3.8-10).
P09.10,A.1.3.5-10,Droits des personnes concernees,tgv_plus_etroit,"P09.10 permet à la personne de définir les types de RP restreints, les groupes visés et la durée = exercice du droit de restreindre l'accès à ses RP (A.1.3.5-10)."
