tgv_ref,cible_ref,cible_intitule,relation,justification
S01.01,2.1.2,"For the purpose of point 2.1.1., the relevant entities shall establish procedures for identification, analysis, assessment and treatment of risks (‘cybersecurity risk management process’). The cybersecurity risk management process shall be an integral part of the relevant entities’ overall risk management process, where applicable. As part of the cybersecurity risk management process, the relevant entities shall:",tgv_plus_etroit,L'évaluation des risques de sécurité réalisée à la conception démontre l'application du processus de gestion des risques exigé.
S01.02,2.1.4,"The relevant entities shall review and, where appropriate, update the risk assessment results and the risk treatment plan at planned intervals and at least annually, and when significant changes to operations or risks or significant incidents occur.",recoupement_partiel,Les évaluations périodiques des risques alimentent la révision à intervalles planifiés de l'appréciation des risques.
S01.03,2.1.4,"The relevant entities shall review and, where appropriate, update the risk assessment results and the risk treatment plan at planned intervals and at least annually, and when significant changes to operations or risks or significant incidents occur.",equivalent,L'évaluation continue approuvée par la direction et déclenchée par les changements majeurs correspond à la révision périodique et annuelle de l'appréciation des risques.
S02.01,1.1.1.a,set out the relevant entities’ approach to managing the security of their network and information systems;,recoupement_partiel,La politique de sécurité présentant objectifs et principes établit l'approche de gestion de la sécurité des SI.
S02.01,1.1.1.g,lay down roles and responsibilities pursuant to point 1.2.;,recoupement_partiel,"La politique définit les rôles et responsabilités de sécurité, tel qu'exigé par la politique NIS2."
S02.03,1.1.1.f,be communicated to and acknowledged by relevant employees and relevant interested external parties;,recoupement_partiel,"L'approbation, la communication aux personnes intéressées et la mise à jour couvrent la communication et la reconnaissance de la politique."
S02.03,1.1.1.k,indicate the date of the formal approval by the management bodies of the relevant entities (the ‘management bodies’).,recoupement_partiel,L'approbation de la politique par la direction correspond à l'indication de la date d'approbation formelle par les instances dirigeantes.
S02.03,1.1.2,"The network and information system security policy shall be reviewed and, where appropriate, updated by management bodies at least annually and when significant incidents or significant changes to operations or risks occur. The result of the reviews shall be documented.",recoupement_partiel,Le maintien à jour des politiques alimente la révision périodique de la politique de sécurité.
S02.04,3.1.1,"For the purpose of Article 21(2), point (b) of Directive (EU) 2022/2555, the relevant entities shall establish and implement an incident handling policy laying down the roles, responsibilities, and procedures for detecting, analysing, containing or responding to, recovering from, documenting and reporting of incidents in a timely manner.",recoupement_partiel,La procédure à suivre en cas d'incident alimente l'établissement d'une politique de gestion des incidents.
S03.01,1.2.1,"As part of their policy on the security of network and information systems referred to in point 1.1., the relevant entities shall lay down responsibilities and authorities for network and information system security and assign them to roles, allocate them according to the relevant entities’ needs, and communicate them to the management bodies.",tgv_plus_etroit,La définition des responsabilités de sécurité correspond à l'attribution des responsabilités et autorités aux rôles.
