tgv_ref,cible_ref,cible_intitule,relation,justification
P09.04,[EXI 05],c. Traçabilité et imputabilité des accès ;,recoupement_partiel,La journalisation de l'ensemble des accès aux renseignements personnels (P09.04) fournit les traces nominatives assurant la traçabilité et l'imputabilité des accès aux DSCP attendues par HDS (EXI 05 D-c).
S04.02,[EXI 10],"Les personnels travaillant pour l’Hébergeur doivent être sensibilisés à la criticité en termes de disponibilité, de confidentialité et d’intégrité des DSCP hébergées.",recoupement_partiel,Le programme de sensibilisation/formation à la sécurité (S04.02) fournit la preuve de sensibilisation du personnel exigée par HDS (EXI 10) sur la criticité DIC des données de santé.
S05.07,[EXI 05],a. De copie des DSCP sur des supports portables ;,recoupement_partiel,L'encadrement de l'utilisation des supports amovibles (S05.07) traite le risque HDS de perte de contrôle par copie des DSCP sur supports portables (EXI 05 B-à).
S05.08,[EXI 05],c. De réallocation des espaces de stockage.,recoupement_partiel,La procédure de mise au rebut sécurisée des supports (S05.08) traite le risque HDS de perte de contrôle lors de la réallocation des espaces de stockage / rémanence des données (EXI 05 B-c).
S06.14,[EXI 05],"a. Attribution, modification et retrait des droits d’accès ;",recoupement_partiel,"Les fonctionnalités de gestion des accès de l'application (S06.14) traitent le risque HDS lié à l'attribution, la modification et le retrait des droits d'accès (EXI 05 D-à)."
S08.02,[EXI 05],A. Défaillance des supports matériels de l’information due à des menaces physiques et environnementales.,recoupement_partiel,Le contrôle d'accès et la protection physique des locaux hébergeant les composantes (S08.02) traitent le risque HDS de défaillance des supports matériels due aux menaces physiques/environnementales (EXI 05 A).
S10.04,[EXI 05],c. Traçabilité et imputabilité des accès ;,tgv_plus_large,La journalisation nominative et horodatée de toute activité (S10.04) couvre et dépasse la traçabilité et l'imputabilité des accès attendues par HDS (EXI 05 D-c).
S10.05,[EXI 15],L’Hébergeur doit permettre au client de consulter les traces d’accès aux DSCP portées par des ressources spécifiques ou auxdites ressources par les personnels sous son contrôle ;,recoupement_partiel,Les fonctions de filtrage/extraction/restitution des journaux (S10.05) alimentent la capacité HDS à permettre au client de consulter les traces d'accès aux DSCP (EXI 15).
S11.02,[EXI 05],"C. Dégradation, compromission ou rupture d’un flux d’information interne ou externe sous la responsabilité de l’Hébergeur.",recoupement_partiel,La protection des communications entre composantes (S11.02) traite le risque HDS de dégradation/compromission/rupture d'un flux d'information (EXI 05 C).
S13.05,[EXI 06],"En cas de recours à la sous-traitance, l’Hébergeur doit s’assurer qu’il maîtrise les changements des mesures techniques et organisationnelles de ses sous-traitants permettant de traiter les risques identifiés.",recoupement_partiel,Les processus de surveillance de la conformité des fournisseurs (S13.05) alimentent la maîtrise des changements des mesures des sous-traitants exigée par HDS (EXI 06).
S15.05,[EXI 05],"G. Défaillances matérielles ou logicielles, avec incapacité à respecter les engagements de continuité ou de reprise d’activité.",recoupement_partiel,Le plan de recouvrement après sinistre (S15.05) traite le risque HDS de défaillance matérielle/logicielle avec incapacité de reprise d'activité (EXI 05 G).
S16.03,[EXI 15],"Sur demande du client, l’Hébergeur doit lui communiquer la synthèse managériale d’un rapport d’audit technique portant sur les ressources mutualisées dans le cadre du service. Cet audit doit être réalisé par un auditeur indépendant et dater de moins de trois ans ;",recoupement_partiel,Le test d'intrusion réalisé par un prestataire indépendant reconnu (S16.03) produit le rapport d'audit technique indépendant dont HDS exige la communication au client (EXI 15).
