tgv_ref,cible_ref,cible_intitule,relation,justification
P01.01,24.2,"Where proportionate in relation to processing activities, the measures referred to in paragraph 1 shall include the implementation of appropriate data protection policies by the controller.",tgv_plus_etroit,La politique de protection des renseignements personnels de l'organisation constitue la « data protection policy » dont l'art. 24.2 exige la mise en œuvre par le responsable.
P01.02,24.1,"Taking into account the nature, scope, context and purposes of processing as well as the risks of varying likelihood and severity for the rights and freedoms of natural persons, the controller shall implement appropriate technical and organisational measures to ensure and to be able to demonstrate that processing is performed in accordance with this Regulation. Those measures shall be reviewed and updated where necessary.",tgv_plus_etroit,"L'encadrement documenté (politiques, processus, procédures) fournit les mesures organisationnelles que l'art. 24.1 impose pour assurer et démontrer la conformité."
P01.03,12.1,"The controller shall take appropriate measures to provide any information referred to in Articles 13 and 14 and any communication under Articles 15 to 22 and 34 relating to processing to the data subject in a concise, transparent, intelligible and easily accessible form, using clear and plain language, in particular for any information addressed specifically to a child. The information shall be provided in writing, or by other means, including, where appropriate, by electronic means. When requested by the data subject, the information may be provided orally, provided that the identity of the data subject is proven by other means.",tgv_plus_etroit,La consultabilité facile de la politique de confidentialité par l'utilisateur correspond à l'exigence de forme « aisément accessible » de l'information de l'art. 12.1.
P01.04,12.1,"The controller shall take appropriate measures to provide any information referred to in Articles 13 and 14 and any communication under Articles 15 to 22 and 34 relating to processing to the data subject in a concise, transparent, intelligible and easily accessible form, using clear and plain language, in particular for any information addressed specifically to a child. The information shall be provided in writing, or by other means, including, where appropriate, by electronic means. When requested by the data subject, the information may be provided orally, provided that the identity of the data subject is proven by other means.",recoupement_partiel,Le volet « publier de l'information détaillée en termes simples et clairs sur le site » recoupe l'exigence de transparence et d'accessibilité de l'art. 12.1.
P01.04,24.2,"Where proportionate in relation to processing activities, the measures referred to in paragraph 1 shall include the implementation of appropriate data protection policies by the controller.",recoupement_partiel,Le volet « politiques et pratiques de gouvernance des RP » de ce critère recoupe la mise en œuvre de politiques de protection des données de l'art. 24.2.
P01.05,13.2.a,"the period for which the personal data will be stored, or if that is not possible, the criteria used to determine that period;",recoupement_partiel,Le volet « conservées/détruites » du détail exigé des politiques correspond à l'information sur la durée de conservation prévue à l'art. 13.2.a.
P02.01,37.1,The controller and the processor shall designate a data protection officer in any case where:,recoupement_partiel,"La désignation d'un responsable chargé de la mise en œuvre des politiques et pratiques de PRP recoupe la désignation d'un délégué à la protection des données de l'art. 37.1, sans en reprendre les conditions de déclenchement."
P02.02,38.2,"The controller and processor shall support the data protection officer in performing the tasks referred to in Article 39 by providing resources necessary to carry out those tasks and access to personal data and processing operations, and to maintain his or her expert knowledge.",tgv_plus_etroit,"La preuve d'allocation de ressources humaines, techniques et financières au responsable satisfait l'obligation de fournir au délégué les ressources nécessaires à ses missions (art. 38.2)."
P02.03,38.1,"The controller and the processor shall ensure that the data protection officer is involved, properly and in a timely manner, in all issues which relate to the protection of personal data.",tgv_plus_etroit,L'implication du responsable de la PRP dès le projet de développement illustre l'implication « en temps utile » du délégué dans les questions de protection des données de l'art. 38.1.
P03.01,25.1,"Taking into account the state of the art, the cost of implementation and the nature, scope, context and purposes of processing as well as the risks of varying likelihood and severity for rights and freedoms of natural persons posed by the processing, the controller shall, both at the time of the determination of the means for processing and at the time of the processing itself, implement appropriate technical and organisational measures, such as pseudonymisation, which are designed to implement data-protection principles, such as data minimisation, in an effective manner and to integrate the necessary safeguards into the processing in order to meet the requirements of this Regulation and protect the rights of data subjects.",tgv_plus_etroit,Intégrer au projet des activités garantissant le respect des principes de protection de la vie privée met en œuvre la protection des données dès la conception de l'art. 25.1.
P03.02,35.1,"Where a type of processing in particular using new technologies, and taking into account the nature, scope, context and purposes of the processing, is likely to result in a high risk to the rights and freedoms of natural persons, the controller shall, prior to the processing, carry out an assessment of the impact of the envisaged processing operations on the protection of personal data. A single assessment may address a set of similar processing operations that present similar high risks.",recoupement_partiel,"L'identification et l'analyse continues des risques d'atteinte à la vie privée recoupent l'analyse d'impact relative à la protection des données de l'art. 35.1, sans son caractère formel déclenché par un risque élevé."
P04.01,35.1,"Where a type of processing in particular using new technologies, and taking into account the nature, scope, context and purposes of the processing, is likely to result in a high risk to the rights and freedoms of natural persons, the controller shall, prior to the processing, carry out an assessment of the impact of the envisaged processing operations on the protection of personal data. A single assessment may address a set of similar processing operations that present similar high risks.",equivalent,"Le mécanisme d'ÉFVP (évaluer la conformité, relever les risques, définir les mesures) correspond directement à l'analyse d'impact relative à la protection des données prévue à l'art. 35.1."
P04.02,35.7.a,"a systematic description of the envisaged processing operations and the purposes of the processing, including, where applicable, the legitimate interest pursued by the controller;",recoupement_partiel,L'exigence que l'ÉFVP contienne tous les éléments requis recoupe l'obligation d'y inclure une description systématique du traitement (art. 35.7.a).
P04.02,35.7.d,"the measures envisaged to address the risks, including safeguards, security measures and mechanisms to ensure the protection of personal data and to demonstrate compliance with this Regulation taking into account the rights and legitimate interests of data subjects and other persons concerned.",recoupement_partiel,L'exigence que l'ÉFVP contienne tous les éléments requis recoupe l'obligation d'y inclure les mesures envisagées pour faire face aux risques (art. 35.7.d).
P05.01,24.1,"Taking into account the nature, scope, context and purposes of processing as well as the risks of varying likelihood and severity for the rights and freedoms of natural persons, the controller shall implement appropriate technical and organisational measures to ensure and to be able to demonstrate that processing is performed in accordance with this Regulation. Those measures shall be reviewed and updated where necessary.",recoupement_partiel,La sensibilisation du personnel aux bonnes pratiques de protection de la vie privée constitue une mesure organisationnelle démontrant la conformité au sens de l'art. 24.1.
P06.01,13.1.c,the purposes of the processing for which the personal data are intended as well as the legal basis for the processing;,tgv_plus_etroit,"Informer l'utilisateur de la finalite de la collecte et de l'usage des RP correspond au seul volet 'finalites' de l'art. 13.1.c, lequel exige aussi la base juridique; le critere TGV en est donc un sous-ensemble (subset), non une equivalence."
P06.02,13.1.c,the purposes of the processing for which the personal data are intended as well as the legal basis for the processing;,recoupement_partiel,Le volet « personnes informées des motifs de la collecte et de l'utilisation prévue » recoupe l'information sur les finalités du traitement de l'art. 13.1.c.
P06.02,7.1,"Where processing is based on consent, the controller shall be able to demonstrate that the data subject has consented to processing of his or her personal data.",recoupement_partiel,Le volet « s'assurer que le consentement de la personne concernée a été obtenu » recoupe l'obligation de pouvoir démontrer le consentement de l'art. 7.1.
P06.03,7.1,"Where processing is based on consent, the controller shall be able to demonstrate that the data subject has consented to processing of his or her personal data.",equivalent,Le mécanisme de recueil et de consignation du consentement fournit précisément la démonstration du consentement exigée par l'art. 7.1.
P06.04,7.1,"Where processing is based on consent, the controller shall be able to demonstrate that the data subject has consented to processing of his or her personal data.",recoupement_partiel,"La consignation de l'attestation de l'utilisateur professionnel qu'il a obtenu le consentement recoupe l'obligation de démontrer le consentement (art. 7.1), ici par preuve indirecte."
P06.05,7.1,"Where processing is based on consent, the controller shall be able to demonstrate that the data subject has consented to processing of his or her personal data.",recoupement_partiel,La consignation du consentement de l'utilisateur à la communication de ses RP correspond à la démonstration du consentement (art. 7.1) appliquée à la divulgation.
P06.06,9.2.a,"the data subject has given explicit consent to the processing of those personal data for one or more specified purposes, except where Union or Member State law provide that the prohibition referred to in paragraph 1 may not be lifted by the data subject;",recoupement_partiel,La confirmation formelle de chaque transfert de renseignements de santé (DSQ) recoupe le consentement explicite requis pour les données de santé par l'art. 9.2.a.
P06.07,7.3,"The data subject shall have the right to withdraw his or her consent at any time. The withdrawal of consent shall not affect the lawfulness of processing based on consent before its withdrawal. Prior to giving consent, the data subject shall be informed thereof. It shall be as easy to withdraw as to give consent.",recoupement_partiel,"La gestion détaillée du consentement (préférences, paramètres d'acceptation) permet notamment le retrait du consentement aussi aisé que son octroi exigé par l'art. 7.3."
P06.08,14.2.f,"from which source the personal data originate, and if applicable, whether it came from publicly accessible sources;",recoupement_partiel,La capacité de connaître la provenance des RP collectés indirectement recoupe l'obligation relative à la source des données de l'art. 14.2.f.
P06.10,6.1,Processing shall be lawful only if and to the extent that at least one of the following applies:,recoupement_partiel,Les mécanismes encadrant la communication de RP sans consentement s'appuient sur l'existence d'une base de licéité autre que le consentement (art. 6.1).
P06.11,8.2,"The controller shall make reasonable efforts to verify in such cases that consent is given or authorised by the holder of parental responsibility over the child, taking into consideration available technology.",recoupement_partiel,Le processus d'obtention du consentement du titulaire de l'autorité parentale pour les mineurs recoupe l'obligation de vérifier ce consentement parental (art. 8.2).
P06.12,7.1,"Where processing is based on consent, the controller shall be able to demonstrate that the data subject has consented to processing of his or her personal data.",recoupement_partiel,La consignation de l'attestation du professionnel qu'il a obtenu le consentement à la communication recoupe la démonstration du consentement (art. 7.1) pour la divulgation.
P07.01,28.1,"Where processing is to be carried out on behalf of a controller, the controller shall use only processors providing sufficient guarantees to implement appropriate technical and organisational measures in such a manner that processing will meet the requirements of this Regulation and ensure the protection of the rights of the data subject.",recoupement_partiel,S'assurer que les partenaires respectent les exigences de PRP recoupe l'obligation de ne recourir qu'à des sous-traitants présentant des garanties suffisantes (art. 28.1).
P07.02,13.1.a,"the identity and the contact details of the controller and, where applicable, of the controller's representative;",recoupement_partiel,Informer les utilisateurs de l'identité des parties prenantes (fournisseur) recoupe l'obligation de communiquer l'identité du responsable du traitement (art. 13.1.a).
P07.02,13.1.e,"the recipients or categories of recipients of the personal data, if any;",recoupement_partiel,"Informer sur les parties prenantes destinataires des RP (établissement acquéreur, ministère) recoupe l'information sur les destinataires de l'art. 13.1.e."
P08.01,6.1,Processing shall be lawful only if and to the extent that at least one of the following applies:,recoupement_partiel,La collecte d'identifiants généraux « en vertu de dispositions légales ou d'ententes spécifiques » recoupe l'exigence d'une base de licéité pour le traitement (art. 6.1).
P08.02,13.1,"Where personal data relating to a data subject are collected from the data subject, the controller shall, at the time when personal data are obtained, provide the data subject with all of the following information:",recoupement_partiel,Informer le patient préalablement à la collecte directe de l'utilisation de ses RP correspond à l'information à fournir au moment où les données sont obtenues auprès de la personne (art. 13.1).
P08.03,14.2.f,"from which source the personal data originate, and if applicable, whether it came from publicly accessible sources;",recoupement_partiel,La capacité de connaître la provenance lors d'une collecte indirecte recoupe l'obligation relative à la source des données de l'art. 14.2.f.
