tgv_ref,cible_ref,cible_intitule,relation,justification
P01.01,P1.1,"The entity provides notice to data subjects about its privacy practices to meet the entity’s objectives related to privacy. The notice is updated and communicated to data subjects in a timely manner for changes to the entity’s privacy practices, including changes in the use of personal information, to meet the entity’s objectives related to privacy.",tgv_plus_etroit,La politique de protection des RP documentée constitue le socle de l'avis sur les pratiques de vie privée exigé par P1.1; preuve : politique PRP approuvée.
P01.02,CC5.3,COSO Principle 12,tgv_plus_etroit,"Encadrement de la PRP par politiques/directives/procédures = déploiement de contrôles par des politiques et procédures (CC5.3), version privacy."
P01.03,P1.1,"The entity provides notice to data subjects about its privacy practices to meet the entity’s objectives related to privacy. The notice is updated and communicated to data subjects in a timely manner for changes to the entity’s privacy practices, including changes in the use of personal information, to meet the entity’s objectives related to privacy.",tgv_plus_etroit,Politique de confidentialité facilement consultable par l'utilisateur = mise à disposition/communication de l'avis de vie privée (P1.1).
P01.04,P1.1,"The entity provides notice to data subjects about its privacy practices to meet the entity’s objectives related to privacy. The notice is updated and communicated to data subjects in a timely manner for changes to the entity’s privacy practices, including changes in the use of personal information, to meet the entity’s objectives related to privacy.",tgv_plus_etroit,Publication d'information détaillée et en termes clairs sur les pratiques de gouvernance des RP = avis de vie privée communiqué (P1.1).
P01.05,P1.1,"The entity provides notice to data subjects about its privacy practices to meet the entity’s objectives related to privacy. The notice is updated and communicated to data subjects in a timely manner for changes to the entity’s privacy practices, including changes in the use of personal information, to meet the entity’s objectives related to privacy.",tgv_plus_etroit,Politiques détaillant les RP collectés/conservés/communiqués/détruits = contenu de l'avis de vie privée (P1.1).
P02.01,CC1.3,COSO Principle 3,tgv_plus_etroit,Désignation d'un responsable PRP chargé de la mise en oeuvre = attribution d'autorités et responsabilités par la direction (CC1.3).
P02.02,CC1.3,COSO Principle 3,tgv_plus_etroit,Appui du responsable PRP par des ressources humaines/techniques/financières = engagement de ressources et délégation d'autorité (CC1.3).
P02.03,CC1.3,COSO Principle 3,recoupement_partiel,"Implication du responsable PRP dans le projet de développement = exercice des responsabilités définies, avec chevauchement partiel du périmètre de CC1.3."
P03.01,CC3.2,COSO Principle 7,recoupement_partiel,"Activités de projet assurant le respect des principes de vie privée = intersection avec l'identification/analyse des risques (CC3.2), sans équivalence complète."
P03.02,CC3.2,COSO Principle 7,tgv_plus_etroit,Identification et analyse des risques d'atteinte à la vie privée dès le début du projet = sous-ensemble de l'identification/analyse des risques (CC3.2).
P04.01,CC3.2,COSO Principle 7,tgv_plus_etroit,"Mécanisme d'ÉFVP lorsque la Loi l'exige = évaluation ciblée des risques vie privée, sous-ensemble de l'analyse des risques (CC3.2)."
P04.02,CC3.2,COSO Principle 7,tgv_plus_etroit,Complétude de l'ÉFVP selon les éléments exigés par la CAI = qualité/exhaustivité de l'analyse de risque vie privée (CC3.2).
P05.01,CC2.2,COSO Principle 14,tgv_plus_etroit,"Sensibilisation du personnel à la vie privée = communication interne visant à améliorer la connaissance et les comportements (CC2.2, volet privacy)."
P05.02,CC2.3,COSO Principle 15,tgv_plus_etroit,Information de l'acquéreur et des utilisateurs sur l'usage autorisé et les mesures de sécurité = communication aux parties externes de leurs responsabilités (CC2.3).
P06.01,P1.1,"The entity provides notice to data subjects about its privacy practices to meet the entity’s objectives related to privacy. The notice is updated and communicated to data subjects in a timely manner for changes to the entity’s privacy practices, including changes in the use of personal information, to meet the entity’s objectives related to privacy.",tgv_plus_etroit,Information de l'utilisateur sur la finalité de collecte et d'usage des RP = avis sur les pratiques de vie privée (P1.1).
P06.02,P3.2,"For information requiring explicit consent, the entity communicates the need for such consent, as well as the consequences of a failure to provide consent for the request for personal information, and obtains the consent prior to the collection of the information to meet the entity’s objectives related to privacy.",tgv_plus_etroit,"Obtention/vérification du consentement avec information sur motifs, usage, tiers, rétractation = consentement explicite communiqué et obtenu avant collecte (P3.2)."
P06.03,P3.2,"For information requiring explicit consent, the entity communicates the need for such consent, as well as the consequences of a failure to provide consent for the request for personal information, and obtains the consent prior to the collection of the information to meet the entity’s objectives related to privacy.",tgv_plus_etroit,Mécanisme de recueil et de consignation du consentement à la collecte = obtention et preuve du consentement explicite avant collecte (P3.2).
P06.04,P3.2,"For information requiring explicit consent, the entity communicates the need for such consent, as well as the consequences of a failure to provide consent for the request for personal information, and obtains the consent prior to the collection of the information to meet the entity’s objectives related to privacy.",tgv_plus_etroit,Consignation de l'attestation de consentement pour COLLECTER les RP = enregistrement du consentement de collecte (P3.2).
P06.05,P6.1,"The entity discloses personal information to third parties with the explicit consent of data subjects, and such consent is obtained prior to disclosure to meet the entity’s objectives related to privacy.",tgv_plus_etroit,Recueil/consignation du consentement à la COMMUNICATION des RP = consentement explicite préalable à la divulgation à des tiers (P6.1).
P06.06,P6.1,"The entity discloses personal information to third parties with the explicit consent of data subjects, and such consent is obtained prior to disclosure to meet the entity’s objectives related to privacy.",tgv_plus_etroit,Confirmation formelle d'un transfert spécifique de RP (DSQ) = consentement/autorisation préalable à la divulgation (P6.1).
P06.07,P2.1,"The entity communicates choices available regarding the collection, use, retention, disclosure, and disposal of personal information to the data subjects and the consequences, if any, of each choice. Explicit consent for the collection, use, retention, disclosure, and disposal of personal information is obtained from data subjects or other authorized persons, if required. Such consent is obtained only for the intended purpose of the information to meet the entity’s objectives related to privacy. The entity’s basis for determining implicit consent for the collection, use, retention, disclosure, and disposal of personal information is documented.",tgv_plus_etroit,"Gestion détaillée du consentement (paramètres d'acceptation, préférences) = communication des choix et recueil du consentement granulaire (P2.1)."
P06.08,P3.1,Personal information is collected consistent with the entity’s objectives related to privacy.,recoupement_partiel,"Connaissance de la provenance des RP et déclaration lors de collecte indirecte = collecte conforme aux objectifs de vie privée (P3.1), chevauchement partiel."
P06.09,P2.1,"The entity communicates choices available regarding the collection, use, retention, disclosure, and disposal of personal information to the data subjects and the consequences, if any, of each choice. Explicit consent for the collection, use, retention, disclosure, and disposal of personal information is obtained from data subjects or other authorized persons, if required. Such consent is obtained only for the intended purpose of the information to meet the entity’s objectives related to privacy. The entity’s basis for determining implicit consent for the collection, use, retention, disclosure, and disposal of personal information is documented.",recoupement_partiel,"Consignation de l'acceptation des conditions d'utilisation = enregistrement d'un choix/consentement (P2.1), périmètre partiellement distinct (CGU)."
P06.10,P6.1,"The entity discloses personal information to third parties with the explicit consent of data subjects, and such consent is obtained prior to disclosure to meet the entity’s objectives related to privacy.",recoupement_partiel,"Encadrement de la communication de RP sans consentement = contrôle des divulgations (P6.1) dans les cas prévus par la Loi, chevauchement partiel."
P06.11,P3.2,"For information requiring explicit consent, the entity communicates the need for such consent, as well as the consequences of a failure to provide consent for the request for personal information, and obtains the consent prior to the collection of the information to meet the entity’s objectives related to privacy.",tgv_plus_etroit,Processus de consentement parental pour les mineurs de moins de 14 ans = consentement obtenu d'une personne autorisée avant collecte (P3.2).
P06.12,P6.1,"The entity discloses personal information to third parties with the explicit consent of data subjects, and such consent is obtained prior to disclosure to meet the entity’s objectives related to privacy.",tgv_plus_etroit,Consignation de l'attestation de consentement pour COMMUNIQUER les RP = preuve de consentement préalable à la divulgation (P6.1).
P07.01,P6.4,"The entity obtains privacy commitments from vendors and other third parties who have access to personal information to meet the entity’s objectives related to privacy. The entity assesses those parties’ compliance on a periodic and as-needed basis and takes corrective action, if necessary.",tgv_plus_etroit,Assurance que les partenaires respectent les exigences PRP = obtention d'engagements de vie privée des tiers et évaluation de conformité (P6.4).
P07.02,P1.1,"The entity provides notice to data subjects about its privacy practices to meet the entity’s objectives related to privacy. The notice is updated and communicated to data subjects in a timely manner for changes to the entity’s privacy practices, including changes in the use of personal information, to meet the entity’s objectives related to privacy.",recoupement_partiel,"Information des utilisateurs sur l'identité des parties prenantes = transparence de l'avis de vie privée (P1.1), chevauchement partiel."
P08.01,P3.1,Personal information is collected consistent with the entity’s objectives related to privacy.,recoupement_partiel,"Collecte d'identifiants généraux (NAS/NAM) fondée sur des dispositions légales avec information = collecte conforme aux objectifs (P3.1), chevauchement partiel."
